transaction_id,customer_id,customer_name,email,purchase_date,product_id,category,price,quantity,total_amount,payment_method,delivery_status,customer_address
1001,102,Amy Wells,caroladams@gmail.com,NULL,1023,Clothing,4210.71,1,4210.71,Credit Card,Pending,"5769 Tracy Lane Port Amy, AZ 35865"
1002,435,Joshua Lopez,NULL,NULL,1029,Electronics,3298.49,3,9895.47,Debit Card,Delivered,"70936 Rangel Falls Wellshaven, AK 75186"
1003,348,Richard Alvarado,rose47@hotmail.com,NULL,1078,Books,2387.86,6,14327.16,Credit Card,Returned,"724 Aaron Villages Patriciachester, VA 64309"
1004,270,Nichole Nelson,sgibbs@reeves.org,NULL,1090,Clothing,3780.65,2,7561.3,Credit Card,Shipped,"4983 James Plains Roachland, NJ 41398"
1005,106,Debbie Baker,vvargas@gmail.com,NULL,1051,Toys,562.62,5,2813.1,Cash,Shipped,"03845 Bryan Branch Suite 738 New Joelside, ID 50557"
1006,71,Mrs. Tanya Mullen,brendareese@gmail.com,NULL,1069,Unknown,4008.69,0,0,Bank Transfer,Pending,"3905 Elizabeth Tunnel Apt. 096 Sarahfurt, MT 87186"
1007,188,Adam Gonzalez,msmith@hebert.org,NULL,1095,Toys,2410.54,8,19284.32,Credit Card,Cancelled,"166 Griffith Mountain South Keithchester, DC 16249"
1008,20,Anthony Reynolds,cameronwilkins@collins-mcdonald.net,NULL,1089,Unknown,4294.91,4,17179.6,Credit Card,Not Delivered,"896 Kevin Spring Apt. 064 Williamsland, IN 58965"
1009,102,Ashley Shelton,simsjessica@gmail.com,NULL,1031,Books,3815.43,9,34338.9,Debit Card,Processing,N/A
1010,121,Matthew Mason,frank20@arnold.com,NULL,1050,Clothing,1784.53,7,12491.7,Bank Transfer,Delivered,"6583 Baker Turnpike Apt. 909 Justinmouth, TN 69183"
1011,466,Stephen Robles,tmassey@yahoo.com,NULL,1020,Unknown,4006.81,1,4006.81,PayPal,Cancelled,"PSC 6776, Box 4786 APO AP 84316"
1012,214,Kylie Anthony,robertsmith@gmail.com,NULL,1055,Toys,4517.16,1,4517.16,PayPal,Pending,"5510 Martin Light Lake Julie, MD 89110"
1013,330,Dr. Christina Robinson,wgreen@ramsey.info,NULL,1081,Clothing,295.8,7,2070.6,Credit Card,Returned,"069 Jennifer Extensions Suite 376 Port Melissaview, LA 28124"
1014,458,Tara Baker,hdaniels@neal-leonard.com,NULL,1002,Clothing,3244.03,1,3244.03,PayPal,Delivered,"7173 Angelica Isle Thompsonfort, RI 83315"
1015,87,Douglas Martin,pamela46@davis.com,NULL,1025,Toys,3776.53,2,7553.06,Debit Card,Pending,"72831 Chang Falls Apt. 176 Wattston, NE 33764"
1016,372,Todd Crawford,gromero@davis.com,NULL,1013,Electronics,2658.35,8,21266.8,Cash,Shipped,"3113 Gregory Wall Suite 086 Laurenbury, MT 94601"
1017,99,Jacqueline Mccall,nicholasyates@gordon-gentry.biz,NULL,1092,Unknown,4061.84,1,4061.84,Bank Transfer,Delivered,"9653 Wang Route Apt. 218 Williamburgh, PA 95069"
1018,359,Hunter Patterson,garciajohn@randall-kirby.com,NULL,1070,Toys,864.98,5,4324.9,Credit Card,Pending,"981 Christine Falls Lambfort, MA 10096"
1019,151,Samantha Rosales,nking@watson.com,NULL,1067,Books,4389.85,3,13169.6,Credit Card,Shipped,"46414 Smith Village North Andrew, MD 24414"
1020,130,Karen Solomon,sampsonbelinda@bates-warren.com,NULL,1058,Home & Kitchen,3282.61,2,6565.22,PayPal,Processing,"1921 Joel Union Lake Juliamouth, NJ 44812"
1021,149,Jeremy Washington,loganashley@gmail.com,NULL,1099,Toys,1412.55,7,9887.85,PayPal,Shipped,"77713 Griffin Crossing North William, OK 29624"
1022,308,Timothy Palmer,dchen@hotmail.com,NULL,1082,Clothing,4310.07,4,17240.3,Credit Card,Not Delivered,"729 Brianna Flats Apt. 942 Lake Jennifer, PA 54030"
1023,257,Dr. Natalie May,wraymond@bentley.com,NULL,1075,Clothing,2560.4,2,5120.8,Credit Card,Returned,"845 Baldwin Valleys Michaelstad, WI 66024"
1024,343,Wanda Hart,ryan94@hotmail.com,NULL,1084,Toys,272.03,8,2176.24,Credit Card,Not Delivered,"883 Ward Mountains Lake Jamie, WV 80506"
1025,491,Matthew Phillips,jeffreycarroll@black.com,NULL,1064,Home & Kitchen,251.5,7,1760.5,Credit Card,Pending,"9333 Crosby Neck Apt. 974 Kristyborough, NM 23144"
1026,413,Phillip Martinez,clarktara@hotmail.com,NULL,1069,Toys,1916.73,3,5750.19,Credit Card,Processing,"2894 John Orchard Suite 418 North Christina, ND 34747"
1027,293,Dylan Olson,jessica20@liu.com,NULL,1083,Home & Kitchen,1531.71,4,6126.84,Debit Card,Cancelled,"0966 Austin Divide Williamsborough, DE 54909"
